Feature_Index	Peak_Index
51	17657
51	17674
51	17688
51	17704
51	17719
51	17736
51	17754
51	17772
51	17789
52	18936
52	18953
52	18971
52	18988
52	19003
53	10122
53	10141
53	10157
53	10175
53	10193
53	10214
53	10234
53	10256
53	10276
53	10313
53	10338
53	10358
53	10375
54	3549
54	3591
54	3617
54	3638
54	3658
54	3754
54	3765
54	3779
54	3780
54	3791
54	3799
54	3815
54	3954
54	3979
54	3999
54	4007
54	4023
54	4042
54	4060
54	4080
54	4392
54	4413
54	4414
54	4436
54	4437
54	4461
54	4462
54	4482
54	4483
54	4502
54	4525
54	4548
54	4594
54	4614
54	4635
54	4653
55	22827
55	22846
55	22847
55	22867
55	22868
55	22885
55	22886
55	22906
55	22907
55	22927
55	22928
55	22947
55	22948
55	22967
55	22968
55	22987
55	22988
55	23003
55	23004
55	23020
55	23021
55	23036
55	23037
55	23054
55	23055
55	23069
55	23070
55	23082
55	23083
55	23095
55	23096
55	23107
55	23108
55	23119
55	23120
55	23132
55	23133
56	8393
56	8409
56	8422
56	8437
56	8448
56	8458
56	8469
56	8480
56	8489
56	8499
56	8510
56	8529
56	8546
56	8564
57	13102
57	13115
57	13139
57	13140
57	13157
57	13175
57	13194
57	13216
57	13237
57	13261
58	14614
58	14640
58	14654
58	14670
58	14686
58	14687
58	14703
58	14704
58	14720
58	14742
58	14743
58	14763
58	14764
58	14782
58	14783
58	14803
58	14804
58	14824
58	14825
58	14847
58	14848
58	14872
58	14873
58	14896
58	14897
59	12715
59	12716
59	12731
59	12732
59	12750
59	12751
59	12772
59	12773
59	12792
59	12793
59	12810
59	12811
59	12827
59	12828
59	12843
59	12844
59	12860
59	12861
59	12877
59	12878
59	12896
59	12897
59	12912
59	12913
59	12929
59	12930
59	12948
59	12949
59	12966
59	12967
59	12995
59	13011
59	13025
59	13039
59	13086
59	13094
59	13103
59	13116
59	13127
59	13158
59	13176
59	13195
60	7041
60	7117
60	7118
60	7145
60	7146
60	7172
60	7173
60	7198
60	7199
60	7222
60	7223
60	7244
60	7245
60	7269
60	7270
60	7291
60	7292
60	7310
60	7311
60	7333
60	7334
60	7353
60	7376
60	7395
61	20895
61	20912
61	20926
61	20942
61	20957
61	20972
61	20987
61	21002
61	21517
61	21541
61	21566
61	21590
61	21612
61	21651
62	13329
62	13353
62	13398
62	13440
62	13484
63	7681
63	7705
63	7714
63	7722
63	7728
63	7729
63	7738
63	7739
63	7748
63	7749
63	7755
63	7756
63	7763
63	7764
63	7770
63	7771
63	7781
63	7782
63	7791
63	7792
63	7803
63	7804
63	7815
63	7816
63	7827
63	7828
63	7837
63	7838
63	7851
63	7852
63	7866
63	7867
63	7884
63	7885
63	7898
63	7899
63	7920
63	7921
63	7942
63	7943
64	13026
64	13040
64	13054
64	13065
64	13072
64	13104
64	13117
64	13128
65	4889
65	4890
65	4912
65	4913
65	4933
65	4934
65	4956
65	4957
65	4976
65	4977
65	4988
65	5004
65	5005
65	5026
65	5027
65	5045
65	5046
