scan_num	charge	abundance	mz	fit	average_mw	monoisotopic_mw	mostabundant_mw	fwhm	signal_noise	mono_abundance	mono_plus2_abundance	index
2589	1	26600	638.2904	0.013	637.668	637.2831	637.2831	0	0	0	0	3160
2591	1	7720	631.3421	0.004	630.7189	630.3349	630.3348	0	0	0	0	3171
2591	1	19200	638.2905	0.007	637.6681	637.2832	637.2832	0	0	0	0	3172
2593	1	3890	631.3421	0.005	630.7189	630.3349	630.3348	0	0	0	0	3188
2593	1	16900	638.2902	0.009	637.6679	637.2829	637.283	0	0	0	0	3190
2593	1	2850	790.4318	0.037	789.9046	789.4245	789.4245	0	0	0	0	3191
2596	1	5230	631.3418	0.004	630.7186	630.3346	630.3346	0	0	0	0	3205
2596	1	12000	638.2903	0.01	637.6679	637.283	637.283	0	0	0	0	3207
2596	1	6830	790.4317	0.013	789.9046	789.4245	789.4245	0	0	0	0	3209
2599	1	2130	790.4473	0.036	789.9201	789.44	789.44	0	0	0	0	3214
2602	1	3950	631.3465	0.01	630.7233	630.3393	630.3393	0	0	0	0	3224
2602	1	2150	638.2948	0.009	637.6724	637.2875	637.2875	0	0	0	0	3226
2602	1	9610	790.4387	0.018	789.9115	789.4314	789.4314	0	0	0	0	3228
2605	1	2700	631.3418	0.004	630.7186	630.3346	630.3346	0	0	0	0	3238
2605	1	37500	790.4315	0.013	789.9043	789.4242	789.4242	0	0	0	0	3241
2608	1	3990	631.3419	0.003	630.7186	630.3346	630.3346	0	0	0	0	3253
2608	1	43300	790.4315	0.011	789.9044	789.4243	789.4242	0	0	0	0	3255
2611	1	5470	631.3418	0.01	630.7186	630.3346	630.3345	0	0	0	0	3267
2611	1	50900	790.4316	0.008	789.9044	789.4243	789.4243	0	0	0	0	3269
2613	1	3820	631.3424	0.006	630.7192	630.3352	630.3351	0	0	0	0	3282
2613	1	1680	708.3251	0.009	707.7448	707.3179	707.3178	0	0	0	0	3283
2613	1	60600	790.4317	0.008	789.9045	789.4244	789.4244	0	0	0	0	3285
2616	1	2960	631.3428	0.013	630.7196	630.3356	630.3355	0	0	0	0	3296
2616	1	49500	790.4323	0.014	789.9052	789.4251	789.4251	0	0	0	0	3299
2619	1	2600	631.3423	0.003	630.7191	630.3351	630.335	0	0	0	0	3310
2619	1	1950	708.3255	0.01	707.7452	707.3182	707.3182	0	0	0	0	3312
2619	1	50200	790.432	0.013	789.9049	789.4248	789.4248	0	0	0	0	3315
2622	1	3360	708.3247	0.032	707.7444	707.3174	707.3174	0	0	0	0	3329
2622	1	48800	790.4317	0.01	789.9046	789.4245	789.4244	0	0	0	0	3333
2625	1	2540	708.324	0.007	707.7437	707.3168	707.3167	0	0	0	0	3347
2625	1	43600	790.4315	0.005	789.9043	789.4242	789.4242	0	0	0	0	3351
2628	1	2460	631.3421	0.011	630.7189	630.3348	630.3348	0	0	0	0	3367
2628	1	2700	708.3246	0.008	707.7444	707.3174	707.3174	0	0	0	0	3369
2628	1	45000	790.4316	0.01	789.9044	789.4243	789.4243	0	0	0	0	3373
2630	1	2580	631.3423	0.009	630.7191	630.335	630.335	0	0	0	0	3387
2630	1	2460	708.3249	0.009	707.7447	707.3177	707.3177	0	0	0	0	3389
2630	1	41400	790.4316	0.011	789.9045	789.4244	789.4244	0	0	0	0	3393
2633	1	2210	631.3423	0.015	630.7191	630.3351	630.335	0	0	0	0	3407
2633	1	37900	790.4318	0.012	789.9047	789.4246	789.4246	0	0	0	0	3411
2636	1	2200	631.342	0.002	630.7188	630.3348	630.3347	0	0	0	0	3426
2636	1	40300	790.4317	0.009	789.9046	789.4245	789.4244	0	0	0	0	3430
2639	1	1860	790.456	0.012	789.9288	789.4487	789.4487	0	0	0	0	3438
2641	1	31400	790.4316	0.012	789.9044	789.4243	789.4243	0	0	0	0	3453
2644	1	26500	790.4311	0.007	789.9039	789.4238	789.4238	0	0	0	0	3466
2646	1	23400	790.431	0.005	789.9038	789.4237	789.4237	0	0	0	0	3476
2649	1	21000	790.4314	0.007	789.9042	789.4241	789.4241	0	0	0	0	3487
2652	1	21200	790.4308	0.011	789.9037	789.4236	789.4235	0	0	0	0	3495
2654	1	24000	790.4308	0.005	789.9036	789.4235	789.4235	0	0	0	0	3502
2656	1	18300	790.4307	0.028	789.9036	789.4235	789.4234	0	0	0	0	3508
2662	1	9310	690.3782	0.009	689.7936	689.3709	689.3709	0	0	0	0	3518
2662	1	41600	790.4308	0.01	789.9036	789.4235	789.4235	0	0	0	0	3520
2665	1	14700	690.3788	0.011	689.7942	689.3715	689.3715	0	0	0	0	3530
2665	1	48700	790.4309	0.009	789.9038	789.4237	789.4236	0	0	0	0	3532
2668	1	25600	690.3789	0.006	689.7942	689.3715	689.3716	0	0	0	0	3544
2668	1	48400	790.4311	0.009	789.904	789.4239	789.4239	0	0	0	0	3546
2668	2	3740	401.1965	0.045	800.8718	800.3785	800.3785	0	0	0	0	3549
2671	1	40000	690.3791	0.007	689.7945	689.3718	689.3718	0	0	0	0	3566
2671	1	46400	790.4315	0.01	789.9044	789.4243	789.4242	0	0	0	0	3568
2673	1	42400	690.3792	0.005	689.7946	689.3719	689.3719	0	0	0	0	3586
2673	1	33400	790.4317	0.011	789.9046	789.4245	789.4245	0	0	0	0	3588
2673	2	2530	401.1966	0.038	800.872	800.3788	800.3787	0	0	0	0	3591
2676	1	28800	690.3834	0.011	689.799	689.3761	689.3761	0	0	0	0	3597
2676	1	11700	790.4369	0.017	789.9098	789.4297	789.4296	0	0	0	0	3598
2679	1	48700	690.3801	0.011	689.7955	689.3728	689.3728	0	0	0	0	3611
2679	1	15900	790.4333	0.011	789.9062	789.4261	789.4261	0	0	0	0	3613
2679	2	1420	401.1971	0.021	800.8728	800.3796	800.3796	0	0	0	0	3617
2682	1	31400	690.3789	0.007	689.7943	689.3716	689.3717	0	0	0	0	3633
2682	1	6900	790.4316	0.005	789.9044	789.4243	789.4243	0	0	0	0	3635
2682	2	2410	401.1965	0.034	800.8717	800.3784	800.3784	0	0	0	0	3638
2682	2	1680	464.7341	0.011	928.016	927.4536	927.4536	0	0	0	0	3641
2685	1	15500	690.3795	0.013	689.7949	689.3722	689.3722	0	0	0	0	3653
2685	1	4210	790.4319	0.008	789.9047	789.4246	789.4246	0	0	0	0	3656
2685	2	1250	401.1967	0.006	800.8721	800.3789	800.3788	0	0	0	0	3658
2685	2	2440	464.7342	0.02	928.0162	927.4539	927.4538	0	0	0	0	3661
2688	1	6740	690.3796	0.014	689.795	689.3723	689.3723	0	0	0	0	3675
2688	1	3330	790.4322	0.007	789.905	789.425	789.4249	0	0	0	0	3678
2688	2	5060	464.7341	0.049	928.016	927.4537	927.4536	0	0	0	0	3683
2691	2	1270	464.7387	0.032	928.0251	927.4628	927.4628	0	0	0	0	3690
2696	2	6540	464.734	0.029	928.0157	927.4534	927.4534	0	0	0	0	3703
2699	2	3650	464.7339	0.018	928.0155	927.4532	927.4532	0	0	0	0	3712
2720	2	11100	401.1962	0.007	800.8711	800.3778	800.3778	0	0	0	0	3754
2724	2	11300	401.1965	0.055	800.8717	800.3784	800.3784	0	0	0	0	3765
2729	1	6770	801.3851	0.019	800.871	800.3778	800.3778	0	0	0	0	3779
